Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Feigned Braking,RAVEN-X,0,0.8007399577167019,0.8667048054919908,0.8324175824175825,0.8764601672340411,3496,44259
Position Mirroring,RAVEN-X,0,0.8588850174216028,0.4100644624662092,0.5551020408163265,0.6800129952164292,9618,44259
Random Position Offset,RAVEN-X,0,0.9318600368324125,0.9777777777777777,0.9542668552569543,0.9928633701964097,8280,44259
Random Speed Offset,RAVEN-X,0,0.9351729123990842,0.9245889921372409,0.9298508356796262,0.9737834723109963,8394,44259
Reversed Heading,RAVEN-X,0,0.9253820439350525,0.937469762941461,0.9313866858928143,0.9733354174734078,8268,44259
Sudden Constant Speed,RAVEN-X,0,0.5793075684380032,0.9159770846594526,0.7097410604192355,0.8943115037489087,1571,44259
Sudden Stop,RAVEN-X,0,0.7277179236043095,0.5657360406091371,0.6365843210052835,0.7569413243513406,3940,44259
Time Delay,RAVEN-X,0,0.15940224159402241,0.014746543778801843,0.02699567647368976,0.18563054963996978,8680,44259
Traffic Congestion Sybil,RAVEN-X,0,0.9798433083750682,0.9971237542576006,0.98840800810314,0.9994085962188773,39635,83894
Zero Speed Report,RAVEN-X,0,0.9310503862561974,0.960166468489893,0.9453843001814669,0.9911875599039007,8410,44259
Acceleration Multiplication,RAVEN-X-GF,0,0.7578616352201258,0.8215242269296323,0.788409860965066,0.8621363396075572,4107,44259
Constant Position Offset,RAVEN-X-GF,0,0.9220375624915552,0.7834672789896671,0.8471230836074731,0.8808460366041992,8710,44259
Constant Speed Offset,RAVEN-X-GF,0,0.9455860406382735,0.9255056179775281,0.9354380784736812,0.977289578501412,8900,44259
Data Replay,RAVEN-X-GF,0,0.8895731280615815,0.7269815852682145,0.8001007049345418,0.8625631524233212,8743,44259
DoS,RAVEN-X-GF,0,0.9417241379310345,1.0,0.9699875688154858,0.9999841976966386,8193,44259
Feigned Braking,RAVEN-X-GF,0,0.8098918083462133,0.8993135011441648,0.8522634860395771,0.9383408271139602,3496,44259
Position Mirroring,RAVEN-X-GF,0,0.8850955911041748,0.4717196922437097,0.6154367878459034,0.7403977723191668,9618,44259
Random Position Offset,RAVEN-X-GF,0,0.9361088686426018,0.9803140096618358,0.9577016105244528,0.9943008705364716,8280,44259
Random Speed Offset,RAVEN-X-GF,0,0.9373580394500897,0.9341196092446986,0.9357360224357062,0.9785027866115628,8394,44259
Reversed Heading,RAVEN-X-GF,0,0.9305005401512424,0.9375907111756169,0.9340321706126875,0.9821702873174667,8268,44259
Sudden Constant Speed,RAVEN-X-GF,0,0.6083827265029635,0.9147040101845958,0.7307398932112891,0.9139035951552995,1571,44259
Sudden Stop,RAVEN-X-GF,0,0.8197702249880325,0.8692893401015228,0.8438038925843804,0.8887273772213916,3940,44259
Time Delay,RAVEN-X-GF,0,0.12030075187969924,0.009216589861751152,0.017121455323702513,0.17834347930224193,8680,44259
Traffic Congestion Sybil,RAVEN-X-GF,0,0.9834210265065025,0.9997224675160843,0.9915047480826253,0.999930057019431,39635,83894
Zero Speed Report,RAVEN-X-GF,0,0.9354986276303752,0.9726516052318668,0.9537134196105864,0.9949819535581894,8410,44259
Acceleration Multiplication,RandomForest,1,0.7059721011333915,0.7886535183832482,0.7450258769407706,0.8235486011970555,4107,44259
Constant Position Offset,RandomForest,1,0.8340132226754818,0.6807118254879448,0.749604905493394,0.8032312705498786,8710,44259
Constant Speed Offset,RandomForest,1,0.8716799650234999,0.8960674157303371,0.8837054684470054,0.9406443570440783,8900,44259
Data Replay,RandomForest,1,0.6397443346891343,0.25185862976095164,0.361427985227739,0.4167519045943459,8743,44259
DoS,RandomForest,1,0.8694683221903853,1.0,0.9301771117166212,0.9977544730221312,8193,44259
Feigned Braking,RandomForest,1,0.6792321924144311,0.8401029748283753,0.7511508951406649,0.8578152841062395,3496,44259
Position Mirroring,RandomForest,1,0.6196202531645569,0.20357662715741318,0.30646423540460166,0.40495706970884937,9618,44259
Random Position Offset,RandomForest,1,0.8714710252600297,0.9916666666666667,0.9276917862388431,0.9884661892147336,8280,44259
Random Speed Offset,RandomForest,1,0.8672822935681306,0.9622349297116989,0.9122945727678319,0.9706373665654946,8394,44259
Reversed Heading,RandomForest,1,0.8701834364484967,0.9696419932268989,0.9172244150792289,0.9874931063742199,8268,44259
Sudden Constant Speed,RandomForest,1,0.45223164883806716,0.7803946530872056,0.5726296123306865,0.7109483465367775,1571,44259
Sudden Stop,RandomForest,1,0.7113095238095238,0.9705583756345177,0.8209531987977673,0.9143567283189487,3940,44259
Time Delay,RandomForest,1,0.1904127829560586,0.03294930875576037,0.056177568257709684,0.18313570045695496,8680,44259
Traffic Congestion Sybil,RandomForest,1,0.9603882061290152,0.9187839031159329,0.9391255012700992,0.976594454416608,39635,83894
