Attack,Model,Seed,Precision,Recall,F1,PR-AUC,attack_steps,steps
Reversed Heading,XGBoost,1,0.9048763736263736,0.9560957910014514,0.9297812279463655,0.9886236537450606,8268,44259
Sudden Constant Speed,XGBoost,1,0.5429436246689369,0.913430935709739,0.6810631229235881,0.8874925046607733,1571,44259
Sudden Stop,XGBoost,1,0.7746618933969769,0.9885786802030457,0.8686440677966102,0.9145136716101434,3940,44259
Time Delay,XGBoost,1,0.19391634980988592,0.023502304147465437,0.04192355117139334,0.1913664480557129,8680,44259
Traffic Congestion Sybil,XGBoost,1,0.9692415648207707,0.8363819856187713,0.8979238051383452,0.9802456900347304,39635,83894
Zero Speed Report,XGBoost,1,0.9053421825699054,0.9894173602853745,0.9455144594057155,0.9965838170975523,8410,44259
Acceleration Multiplication,GRU,1,0.6534900284900285,0.8935962990017045,0.7549110356885735,0.8812835727046469,4107,44259
Constant Position Offset,GRU,1,0.8329876784189337,0.7839265212399541,0.8077127816880582,0.8760059245823817,8710,44259
Constant Speed Offset,GRU,1,0.8630331273427211,0.9571910112359551,0.9076767353896968,0.9851322808158024,8900,44259
Data Replay,GRU,1,0.8024860161591051,0.7384193068740706,0.7691208005718371,0.8273439690077904,8743,44259
DoS,GRU,1,0.8504255760847,1.0,0.9191675548325574,0.9998040394850987,8193,44259
Feigned Braking,GRU,1,0.6565472576401539,0.9279176201372997,0.7689937181462605,0.9093608979418336,3496,44259
Position Mirroring,GRU,1,0.7730032695002336,0.51621958827199,0.619038713297176,0.728245019073983,9618,44259
Random Position Offset,GRU,1,0.853251864125932,0.995048309178744,0.9187109723461195,0.9970035232893393,8280,44259
Random Speed Offset,GRU,1,0.8481910124074653,0.9691446271146057,0.904642757853767,0.9869345445728531,8394,44259
Reversed Heading,GRU,1,0.8407051620394806,0.9632317368166424,0.8978073389324165,0.9875480596844914,8268,44259
Sudden Constant Speed,GRU,1,0.43640821330064355,0.9064290260980268,0.5891601158460902,0.8879785203587458,1571,44259
Sudden Stop,GRU,1,0.6821996072129977,0.9697969543147208,0.8009642595115816,0.9142510630507338,3940,44259
Time Delay,GRU,1,0.14759725400457666,0.029723502304147466,0.04948216340621404,0.18137851894705037,8680,44259
Traffic Congestion Sybil,GRU,1,0.9519397322042287,0.8735461082376688,0.9110596531852748,0.9586541718970982,39635,83894
Zero Speed Report,GRU,1,0.8509139181047687,0.9908442330558859,0.915563368675493,0.9937287647463281,8410,44259
Acceleration Multiplication,GAT,1,0.7959374270371236,0.830046262478695,0.8126340882002384,0.8938322331821522,4107,44259
Constant Position Offset,GAT,1,0.9197654941373534,0.6304247990815155,0.7480926430517711,0.7745106828103254,8710,44259
Constant Speed Offset,GAT,1,0.962087041326344,0.8867415730337078,0.922879027071274,0.9631951611089362,8900,44259
Data Replay,GAT,1,0.7292899408284024,0.16916390255061192,0.27462631139169996,0.41372813309568285,8743,44259
DoS,GAT,1,0.967867690490254,1.0,0.9836715091847761,0.9999893947633199,8193,44259
Feigned Braking,GAT,1,0.8405601939132776,0.8927345537757437,0.8658621167984464,0.9272158519728546,3496,44259
Position Mirroring,GAT,1,0.7802146523565096,0.1738407153254315,0.284329563812601,0.46795097434472605,9618,44259
Random Position Offset,GAT,1,0.9546045631871379,0.9752415458937198,0.9648127128263337,0.9936132507328884,8280,44259
Random Speed Offset,GAT,1,0.9479626902307314,0.9201810817250416,0.9338653125377826,0.9741333602072267,8394,44259
Reversed Heading,GAT,1,0.9497179298503802,0.9366231253023706,0.9431250761174035,0.981154040965195,8268,44259
Sudden Constant Speed,GAT,1,0.5438854204921043,0.942711648631445,0.6897997205402888,0.8855816316439372,1571,44259
Sudden Stop,GAT,1,0.8058542413381123,0.6847715736040609,0.7403951701427003,0.7589994834283892,3940,44259
Time Delay,GAT,1,0.1413237924865832,0.009101382488479262,0.017101417902370387,0.18833380193182372,8680,44259
Traffic Congestion Sybil,GAT,1,0.9860329632027087,0.9992430932256844,0.992594077768449,0.9997975483812315,39635,83894
Zero Speed Report,GAT,1,0.9534883720930233,0.9652794292508918,0.9593476719451667,0.9940437867704814,8410,44259
Acceleration Multiplication,RAVEN-X,1,0.8048343777976723,0.6566837107377648,0.7232502011263073,0.8121980035404739,4107,44259
Constant Position Offset,RAVEN-X,1,0.9304760575177998,0.7652123995407577,0.8397908397908398,0.8645080448942499,8710,44259
Constant Speed Offset,RAVEN-X,1,0.9555973217432162,0.9140449438202247,0.9343593866651353,0.9753884460705686,8900,44259
